Indicator,2017,Country ISO3,id
Inadequate Supply of Infrastructure,6.0,TCD,3277.0
Tax Regulations,4.1,TCD,3283.0
Inadequately Educated Workforce,3.5,TCD,3278.0
Inefficient Government Bureaucracy,2.9,TCD,3279.0
Crime and Theft,2.7,TCD,3284.0
Poor Work Ethic in Labor Force,2.5,TCD,3281.0
Insufficient Capacity to Innovate,2.4,TCD,
Poor Public Health,1.3,TCD,3288.0
Inflation,1.3,TCD,3287.0
Restrictive Labor Regulations,1.0,TCD,3289.0
Foreign Currency Regulations,1.0,TCD,3285.0
Restrictive Labor Regulations,17.5,CHL,3289.0
Inefficient Government Bureaucracy,16.8,CHL,3279.0
Policy Instability,15.9,CHL,3280.0
Tax Regulations,11.2,CHL,3283.0
Tax Rates,8.8,CHL,3282.0
Inadequately Educated Workforce,7.8,CHL,3278.0
Insufficient Capacity to Innovate,6.8,CHL,
Government Instability/Coups,3.5,CHL,3286.0
Crime and Theft,3.4,CHL,3284.0
Poor Work Ethic in Labor Force,2.9,CHL,3281.0
Inadequate Supply of Infrastructure,2.0,CHL,3277.0
Access to Financing,2.0,CHL,3275.0
Corruption,0.9,CHL,3276.0
Poor Public Health,0.4,CHL,3288.0
Inflation,0.0,CHL,3287.0
Foreign Currency Regulations,0.0,CHL,3285.0
Access to Financing,10.9,CHN,3275.0
Inefficient Government Bureaucracy,8.6,CHN,3279.0
Inflation,8.5,CHN,3287.0
Policy Instability,8.4,CHN,3280.0
Corruption,8.2,CHN,3276.0
Tax Rates,7.8,CHN,3282.0
Inadequate Supply of Infrastructure,7.3,CHN,3277.0
Tax Regulations,7.0,CHN,3283.0
Insufficient Capacity to Innovate,6.9,CHN,
Inadequately Educated Workforce,5.0,CHN,3278.0
Poor Work Ethic in Labor Force,4.9,CHN,3281.0
Government Instability/Coups,4.1,CHN,3286.0
Restrictive Labor Regulations,4.0,CHN,3289.0
Foreign Currency Regulations,3.9,CHN,3285.0
Poor Public Health,3.0,CHN,3288.0
Crime and Theft,1.6,CHN,3284.0
Corruption,17.6,COL,3276.0
Tax Rates,14.2,COL,3282.0
Inefficient Government Bureaucracy,9.2,COL,3279.0
Inadequate Supply of Infrastructure,8.7,COL,3277.0
Policy Instability,7.9,COL,3280.0
Restrictive Labor Regulations,7.5,COL,3289.0
Tax Regulations,5.7,COL,3283.0
Crime and Theft,5.6,COL,3284.0
Inflation,4.5,COL,3287.0
Access to Financing,4.4,COL,3275.0
Government Instability/Coups,3.7,COL,3286.0
Inadequately Educated Workforce,3.6,COL,3278.0
Foreign Currency Regulations,2.6,COL,3285.0
Poor Work Ethic in Labor Force,1.8,COL,3281.0
Insufficient Capacity to Innovate,1.8,COL,
Poor Public Health,1.3,COL,3288.0
Access to Financing,15.6,COD,3275.0
Corruption,14.1,COD,3276.0
Policy Instability,12.0,COD,3280.0
Inadequate Supply of Infrastructure,11.7,COD,3277.0
Government Instability/Coups,10.5,COD,3286.0
Tax Rates,8.3,COD,3282.0
Inflation,5.3,COD,3287.0
Inefficient Government Bureaucracy,3.7,COD,3279.0
Tax Regulations,3.7,COD,3283.0
Inadequately Educated Workforce,3.5,COD,3278.0
Foreign Currency Regulations,3.1,COD,3285.0
Poor Work Ethic in Labor Force,2.6,COD,3281.0
Restrictive Labor Regulations,1.9,COD,3289.0
Insufficient Capacity to Innovate,1.6,COD,
Crime and Theft,1.3,COD,3284.0
Poor Public Health,1.2,COD,3288.0
Inefficient Government Bureaucracy,23.1,CRI,3279.0
Inadequate Supply of Infrastructure,18.4,CRI,3277.0
Tax Rates,10.4,CRI,3282.0
Access to Financing,9.3,CRI,3275.0
Restrictive Labor Regulations,9.0,CRI,3289.0
Tax Regulations,7.5,CRI,3283.0
Corruption,4.5,CRI,3276.0
Inadequately Educated Workforce,3.8,CRI,3278.0
Policy Instability,3.7,CRI,3280.0
Insufficient Capacity to Innovate,3.6,CRI,
Poor Work Ethic in Labor Force,1.8,CRI,3281.0
Inflation,1.6,CRI,3287.0
Crime and Theft,1.4,CRI,3284.0
Foreign Currency Regulations,1.1,CRI,3285.0
Government Instability/Coups,0.7,CRI,3286.0
Poor Public Health,0.0,CRI,3288.0
Inefficient Government Bureaucracy,21.8,HRV,3279.0
Policy Instability,13.4,HRV,3280.0
Tax Regulations,12.4,HRV,3283.0
Corruption,11.5,HRV,3276.0
Tax Rates,11.0,HRV,3282.0
Insufficient Capacity to Innovate,5.2,HRV,
Access to Financing,5.0,HRV,3275.0
Restrictive Labor Regulations,5.0,HRV,3289.0
Inadequately Educated Workforce,3.7,HRV,3278.0
Government Instability/Coups,3.3,HRV,3286.0
Poor Work Ethic in Labor Force,3.2,HRV,3281.0
Crime and Theft,2.4,HRV,3284.0
Inadequate Supply of Infrastructure,1.4,HRV,3277.0
Foreign Currency Regulations,0.3,HRV,3285.0
Poor Public Health,0.3,HRV,3288.0
Inflation,0.0,HRV,3287.0
Access to Financing,19.5,CYP,3275.0
Inefficient Government Bureaucracy,19.4,CYP,3279.0
Insufficient Capacity to Innovate,11.1,CYP,
Inadequate Supply of Infrastructure,10.9,CYP,3277.0
Restrictive Labor Regulations,10.2,CYP,3289.0
Corruption,7.7,CYP,3276.0
Inadequately Educated Workforce,5.1,CYP,3278.0
Poor Work Ethic in Labor Force,3.4,CYP,3281.0
Tax Regulations,2.8,CYP,3283.0
Policy Instability,2.8,CYP,3280.0
Poor Public Health,2.3,CYP,3288.0
Tax Rates,1.7,CYP,3282.0
Foreign Currency Regulations,1.7,CYP,3285.0
Government Instability/Coups,0.7,CYP,3286.0
Inflation,0.5,CYP,3287.0
Crime and Theft,0.3,CYP,3284.0
Tax Regulations,17.6,CZE,3283.0
Inefficient Government Bureaucracy,16.9,CZE,3279.0
Tax Rates,10.9,CZE,3282.0
Policy Instability,9.8,CZE,3280.0
Corruption,9.6,CZE,3276.0
Restrictive Labor Regulations,8.3,CZE,3289.0
Inadequately Educated Workforce,7.3,CZE,3278.0
Insufficient Capacity to Innovate,6.7,CZE,
Inadequate Supply of Infrastructure,4.6,CZE,3277.0
Access to Financing,2.8,CZE,3275.0
Government Instability/Coups,2.6,CZE,3286.0
Poor Work Ethic in Labor Force,1.8,CZE,3281.0
Crime and Theft,0.8,CZE,3284.0
Foreign Currency Regulations,0.3,CZE,3285.0
Inflation,0.2,CZE,3287.0
Poor Public Health,0.0,CZE,3288.0
Tax Rates,20.5,DNK,3282.0
Tax Regulations,13.3,DNK,3283.0
Inefficient Government Bureaucracy,10.9,DNK,3279.0
Restrictive Labor Regulations,10.3,DNK,3289.0
Inadequately Educated Workforce,9.5,DNK,3278.0
Access to Financing,9.3,DNK,3275.0
Poor Work Ethic in Labor Force,6.0,DNK,3281.0
Inadequate Supply of Infrastructure,5.1,DNK,3277.0
Insufficient Capacity to Innovate,4.6,DNK,
Policy Instability,3.2,DNK,3280.0
Government Instability/Coups,3.1,DNK,3286.0
Crime and Theft,1.8,DNK,3284.0
Inflation,0.9,DNK,3287.0
Poor Public Health,0.8,DNK,3288.0
Corruption,0.5,DNK,3276.0
Foreign Currency Regulations,0.3,DNK,3285.0
Corruption,16.9,DOM,3276.0
Inefficient Government Bureaucracy,15.2,DOM,3279.0
Tax Rates,13.0,DOM,3282.0
Inadequately Educated Workforce,11.4,DOM,3278.0
Crime and Theft,10.8,DOM,3284.0
Access to Financing,6.1,DOM,3275.0
Restrictive Labor Regulations,4.5,DOM,3289.0
Poor Work Ethic in Labor Force,4.2,DOM,3281.0
Tax Regulations,3.2,DOM,3283.0
Inadequate Supply of Infrastructure,3.0,DOM,3277.0
Government Instability/Coups,2.9,DOM,3286.0
Policy Instability,2.5,DOM,3280.0
Insufficient Capacity to Innovate,2.2,DOM,
Inflation,1.7,DOM,3287.0
Poor Public Health,1.3,DOM,3288.0
Foreign Currency Regulations,1.2,DOM,3285.0
Policy Instability,16.6,ECU,3280.0
Tax Rates,14.2,ECU,3282.0
Restrictive Labor Regulations,11.8,ECU,3289.0
Corruption,11.8,ECU,3276.0
Inefficient Government Bureaucracy,9.9,ECU,3279.0
Tax Regulations,7.2,ECU,3283.0
Access to Financing,6.9,ECU,3275.0
Government Instability/Coups,5.8,ECU,3286.0
Inadequately Educated Workforce,4.9,ECU,3278.0
Insufficient Capacity to Innovate,2.9,ECU,
Foreign Currency Regulations,2.9,ECU,3285.0
Poor Work Ethic in Labor Force,2.5,ECU,3281.0
Inflation,1.2,ECU,3287.0
Crime and Theft,0.9,ECU,3284.0
Inadequate Supply of Infrastructure,0.3,ECU,3277.0
Poor Public Health,0.1,ECU,3288.0
Policy Instability,15.2,EGY,3280.0
Inflation,14.2,EGY,3287.0
Corruption,9.8,EGY,3276.0
Inefficient Government Bureaucracy,9.0,EGY,3279.0
Inadequately Educated Workforce,7.9,EGY,3278.0
Access to Financing,7.8,EGY,3275.0
Tax Rates,7.7,EGY,3282.0
Foreign Currency Regulations,6.0,EGY,3285.0
Poor Work Ethic in Labor Force,5.0,EGY,3281.0
Inadequate Supply of Infrastructure,4.3,EGY,3277.0
Government Instability/Coups,3.5,EGY,3286.0
Restrictive Labor Regulations,3.3,EGY,3289.0
Tax Regulations,3.0,EGY,3283.0
Insufficient Capacity to Innovate,1.8,EGY,
Poor Public Health,0.8,EGY,3288.0
Crime and Theft,0.7,EGY,3284.0
Crime and Theft,19.5,SLV,3284.0
Corruption,15.9,SLV,3276.0
Inefficient Government Bureaucracy,11.1,SLV,3279.0
Policy Instability,10.4,SLV,3280.0
Tax Rates,9.6,SLV,3282.0
Government Instability/Coups,8.4,SLV,3286.0
Access to Financing,7.0,SLV,3275.0
Inadequately Educated Workforce,5.0,SLV,3278.0
Inadequate Supply of Infrastructure,3.0,SLV,3277.0
Poor Public Health,2.7,SLV,3288.0
Insufficient Capacity to Innovate,2.0,SLV,
Restrictive Labor Regulations,1.8,SLV,3289.0
Tax Regulations,1.7,SLV,3283.0
Poor Work Ethic in Labor Force,1.3,SLV,3281.0
Inflation,0.5,SLV,3287.0
Foreign Currency Regulations,0.0,SLV,3285.0
Tax Rates,18.1,EST,3282.0
Inadequately Educated Workforce,17.9,EST,3278.0
Government Instability/Coups,9.4,EST,3286.0
Inefficient Government Bureaucracy,8.5,EST,3279.0
Insufficient Capacity to Innovate,7.9,EST,
Poor Work Ethic in Labor Force,7.5,EST,3281.0
Inadequate Supply of Infrastructure,5.7,EST,3277.0
Restrictive Labor Regulations,5.6,EST,3289.0
Access to Financing,5.4,EST,3275.0
Policy Instability,4.3,EST,3280.0
Tax Regulations,3.6,EST,3283.0
Corruption,2.2,EST,3276.0
Inflation,1.9,EST,3287.0
Poor Public Health,1.5,EST,3288.0
Crime and Theft,0.5,EST,3284.0
Foreign Currency Regulations,0.0,EST,3285.0
Foreign Currency Regulations,17.4,ETH,3285.0
Corruption,15.9,ETH,3276.0
Access to Financing,11.1,ETH,3275.0
Inefficient Government Bureaucracy,10.3,ETH,3279.0
Inflation,6.8,ETH,3287.0
Inadequate Supply of Infrastructure,6.8,ETH,3277.0
Poor Work Ethic in Labor Force,6.2,ETH,3281.0
Inadequately Educated Workforce,4.5,ETH,3278.0
Tax Rates,4.3,ETH,3282.0
Policy Instability,3.2,ETH,3280.0
Tax Regulations,3.1,ETH,3283.0
Restrictive Labor Regulations,3.0,ETH,3289.0
Government Instability/Coups,2.4,ETH,3286.0
Crime and Theft,1.8,ETH,3284.0
Insufficient Capacity to Innovate,1.7,ETH,
